epsilon,success_rate
0.0,0.0
0.005,0.023826819700711897
0.01,0.06712189452273717
0.015,0.09952055789626617
0.02,0.12160395176521865
0.025,0.13337207612959465
0.03,0.1423797762603516
0.035,0.1476100537556298
0.04,0.15051576347522883
0.045,0.15138747639110853
0.05,0.1509516199331687
0.055,0.1518233328490484
0.06,0.15051576347522883
0.065,0.14790062472758972
0.07,0.1476100537556298
0.075,0.1438326311201511
0.08,0.14005520848467237
0.085,0.13773064070899319
0.09,0.13308150515763476
0.095,0.12930408252215603
0.1,0.12480023245677757
0.105,0.12131338079325875
0.11,0.11782652912973994
0.115,0.11259625163446171
0.12,0.10678483219526369
0.125,0.10111869824204563
0.13,0.09719599012058695
0.135,0.09211099811128869
0.14,0.08906000290570971
0.145,0.08484672381229115
0.15,0.08165044312073223
0.155,0.07874473340113322
0.16,0.07525788173761441
0.165,0.0714804591021357
0.17,0.06857474938253669
0.17500000000000002,0.06523318320499782
0.18,0.0602934766816795
0.185,0.05695191050414063
0.19,0.05288391689670202
0.195,0.04925177974720325
0.2,0.04561964259770449
0.20500000000000002,0.04314978933604533
0.21,0.03937236670056661
0.215,0.037919511840767105
0.22,0.0358855150370478
0.225,0.03370623274734854
0.23,0.030800523027749528
0.23500000000000001,0.02891181171001017
0.24,0.02658724393433096
0.245,0.025570245532471305
