epsilon,success_rate
0.0,0.0
0.005,0.09225628359726863
0.01,0.19628069155891326
0.015,0.25497602789481333
0.02,0.2860671218945227
0.025,0.30292023826819703
0.03,0.3036466656980968
0.035,0.2981258172308586
0.04,0.2914426848757809
0.045,0.2819991282870841
0.05,0.27066686038064797
0.055,0.2578817376144123
0.06,0.2449513293621967
0.065,0.2317303501380212
0.07,0.21967165480168532
0.075,0.2084846723812291
0.08,0.19802411739067266
0.085,0.18930698823187564
0.09,0.1805898590730786
0.095,0.17201801540026151
0.1,0.16489902658724392
0.105,0.15778003777422636
0.11,0.1518233328490484
0.115,0.14252506174633153
0.12,0.13598721487723375
0.125,0.12915879703617608
0.13,0.12465494697079761
0.135,0.1200058114194392
0.14,0.11521139038210083
0.145,0.1114339677466221
0.15,0.10591311927938399
0.155,0.10082812727008572
0.16,0.0964695626906872
0.165,0.09341856748510824
0.17,0.08862414644776986
0.17500000000000002,0.085282580270231
0.18,0.08208629957867208
0.185,0.07889001888711318
0.19,0.07569373819555426
0.195,0.0723521720180154
0.2,0.07104460264419585
0.20500000000000002,0.06930117681243644
0.21,0.06683132355077728
0.215,0.06494261223303792
0.22,0.06203690251343891
0.225,0.06014819119569955
0.23,0.05811419439198024
0.23500000000000001,0.05535377015836118
0.24,0.05361034432660177
0.245,0.05230277495278222
