epsilon,success_rate
0.0,0.0
0.005,0.4782798198459974
0.01,0.7060874618625599
0.015,0.7983437454598286
0.02,0.8465785268051722
0.025,0.8693883481040244
0.03,0.8818828998983002
0.035,0.8927793113467964
0.04,0.8988813017579543
0.045,0.9038210082812727
0.05,0.9099229986924307
0.055,0.9139909922998692
0.06,0.9183495568792678
0.065,0.920674124654947
0.07,0.920674124654947
0.075,0.9224175504867064
0.08,0.9235798343745459
0.085,0.9251779747203255
0.09,0.9276478279819846
0.095,0.9295365392997239
0.1,0.9311346796455034
0.105,0.9328781054772628
0.11,0.9337498183931425
0.115,0.935202673252942
0.12,0.9363649571407816
0.125,0.9376725265146012
0.13,0.9370913845706814
0.135,0.9391253813744007
0.14,0.9402876652622403
0.145,0.9408688072061601
0.15,0.9417405201220398
0.155,0.9430480894958594
0.16,0.9431933749818393
0.165,0.9433386604678192
0.17,0.9447915153276187
0.17500000000000002,0.9452273717855586
0.18,0.9456632282434985
0.185,0.9472613685892779
0.19,0.9459537992154584
0.195,0.9460990847014383
0.2,0.9465349411593782
0.20500000000000002,0.9463896556733983
0.21,0.9465349411593782
0.215,0.9460990847014383
0.22,0.946825512131338
0.225,0.9463896556733983
0.23,0.947116083103298
0.23500000000000001,0.9481330815051576
0.24,0.9482783669911375
0.245,0.9490047944210374
